"student_track_id","student_id","track_name","date_enrolled","track_completed","days_for_completion","completion_bucket"
2749,259136,Data Analyst,2022-01-03,0,,
2750,259141,Data Analyst,2022-01-03,0,,
2751,259144,Data Analyst,2022-01-03,0,,
2752,259150,Data Scientist,2022-01-03,0,,
2753,259154,Data Scientist,2022-01-03,0,,
2754,259155,Data Scientist,2022-01-03,0,,
2755,259160,Business Analyst,2022-04-14,0,,
2756,259160,Data Scientist,2022-01-04,0,,
2757,259161,Data Scientist,2022-01-03,0,,
2758,259163,Data Analyst,2022-01-03,0,,
2759,259169,Data Analyst,2022-01-04,0,,
2760,259170,Data Analyst,2022-01-04,0,,
2761,259171,Data Analyst,2022-01-04,0,,
2762,259172,Data Analyst,2022-01-04,0,,
2763,259173,Data Analyst,2022-01-04,0,,
2764,259174,Data Analyst,2022-01-08,0,,
2765,259178,Data Analyst,2022-06-18,0,,
2766,259179,Data Scientist,2022-01-04,0,,
2767,259182,Data Analyst,2022-07-28,0,,
2768,259186,Data Scientist,2022-01-04,0,,
2769,259187,Data Analyst,2022-01-07,0,,
2770,259207,Data Analyst,2022-01-28,0,,
2771,259209,Data Analyst,2022-01-04,0,,
2772,259217,Data Analyst,2022-01-04,0,,
2773,259218,Data Analyst,2022-01-04,0,,
2774,259221,Business Analyst,2022-01-04,0,,
2775,259221,Data Scientist,2022-01-04,0,,
2776,259231,Data Analyst,2022-01-04,0,,
2777,259238,Data Scientist,2022-01-04,0,,
2778,259239,Data Analyst,2022-03-26,0,,
2779,259240,Data Analyst,2022-01-04,0,,
2780,259240,Data Scientist,2022-01-06,0,,
2781,259242,Data Analyst,2022-01-04,0,,
2782,259247,Data Analyst,2022-01-04,0,,
2783,259247,Data Scientist,2022-01-04,0,,
2784,259254,Data Scientist,2022-01-04,0,,
2785,259256,Data Analyst,2022-01-04,0,,
2786,259258,Data Scientist,2022-01-04,0,,
2787,259260,Data Scientist,2022-01-08,0,,
2788,259261,Data Scientist,2022-01-07,0,,
2789,259262,Data Analyst,2022-01-18,0,,
2790,259266,Business Analyst,2022-01-04,0,,
2791,259266,Data Analyst,2022-01-04,0,,
2792,259267,Data Scientist,2022-01-04,0,,
2793,259268,Business Analyst,2022-01-04,0,,
2794,259273,Data Scientist,2022-01-04,0,,
2795,259276,Data Analyst,2022-01-04,0,,
2796,259276,Data Scientist,2022-02-17,0,,
2797,259278,Business Analyst,2022-01-04,0,,
2798,259278,Data Analyst,2022-01-04,0,,
2799,259278,Data Scientist,2022-01-04,0,,
2800,259283,Data Scientist,2022-01-04,0,,
2801,259284,Data Analyst,2022-01-05,0,,
2802,259291,Data Analyst,2022-01-04,0,,
2803,259304,Data Analyst,2022-01-05,0,,
2804,259305,Data Scientist,2022-01-05,0,,
2805,259316,Data Scientist,2022-01-05,0,,
2806,259328,Business Analyst,2022-01-05,0,,
2807,259333,Data Analyst,2022-01-05,0,,
2808,259334,Data Analyst,2022-01-05,0,,
2809,259343,Data Analyst,2022-01-18,0,,
2810,259353,Data Analyst,2022-01-15,0,,
2811,259354,Business Analyst,2022-01-05,0,,
2812,259354,Data Analyst,2022-01-05,0,,
2813,259355,Data Scientist,2022-01-05,0,,
2814,259358,Data Analyst,2022-01-05,0,,
2815,259359,Data Analyst,2022-01-05,0,,
2816,259361,Data Scientist,2022-07-28,0,,
2817,259364,Business Analyst,2022-01-15,0,,
2818,259364,Data Analyst,2022-01-15,0,,
2819,259365,Data Scientist,2022-01-05,0,,
2820,259381,Data Analyst,2022-01-05,0,,
2821,259383,Data Analyst,2022-01-05,0,,
2822,259383,Data Scientist,2022-01-05,0,,
2823,259388,Data Analyst,2022-01-05,0,,
2824,259400,Data Analyst,2022-01-12,0,,
2825,259402,Business Analyst,2022-03-13,0,,
2826,259402,Data Analyst,2022-03-13,0,,
2827,259418,Data Scientist,2022-01-28,0,,
2828,259438,Data Scientist,2022-01-06,0,,
2829,259445,Data Analyst,2022-01-06,0,,
2830,259447,Business Analyst,2022-01-06,0,,
2831,259447,Data Analyst,2022-01-06,0,,
2832,259449,Data Analyst,2022-01-06,0,,
2833,259451,Data Analyst,2022-01-10,0,,
2834,259452,Data Analyst,2022-01-06,0,,
2835,259452,Data Scientist,2022-01-06,0,,
2836,259454,Data Analyst,2022-07-07,0,,
2837,259465,Business Analyst,2022-01-06,0,,
2838,259480,Data Scientist,2022-01-06,0,,
2839,259482,Data Scientist,2022-01-08,0,,
2840,259483,Data Scientist,2022-01-26,0,,
2841,259485,Data Scientist,2022-01-06,0,,
2842,259486,Data Scientist,2022-01-06,0,,
2843,259491,Data Scientist,2022-01-06,0,,
2844,259494,Data Scientist,2022-02-01,0,,
2845,259501,Data Analyst,2022-01-06,0,,
2846,259504,Data Scientist,2022-01-06,0,,
2847,259507,Data Analyst,2022-01-25,0,,
2848,259508,Data Analyst,2022-01-06,0,,
2849,259510,Data Analyst,2022-02-09,0,,
2850,259510,Data Scientist,2022-01-07,0,,
2851,259523,Data Analyst,2022-01-06,0,,
2852,259524,Data Analyst,2022-01-26,0,,
2853,259524,Data Scientist,2022-05-28,0,,
2854,259527,Data Scientist,2022-02-09,0,,
2855,259531,Data Scientist,2022-01-08,0,,
2856,259533,Business Analyst,2022-01-06,0,,
2857,259537,Data Scientist,2022-01-06,0,,
2858,259541,Data Scientist,2022-01-07,0,,
2859,259543,Data Analyst,2022-01-07,0,,
2860,259545,Data Analyst,2022-01-08,0,,
2861,259545,Data Scientist,2022-01-08,0,,
2862,259546,Data Analyst,2022-01-07,0,,
2863,259547,Data Scientist,2022-01-07,0,,
2864,259548,Business Analyst,2022-01-07,0,,
2865,259549,Data Scientist,2022-01-08,0,,
2866,259550,Data Analyst,2022-01-07,0,,
2867,259551,Data Analyst,2022-01-07,0,,
2868,259556,Data Analyst,2022-01-07,0,,
2869,259561,Data Scientist,2022-01-07,0,,
2870,259564,Data Analyst,2022-01-07,0,,
2871,259568,Data Analyst,2022-01-07,0,,
2872,259573,Data Analyst,2022-01-07,0,,
2873,259575,Data Analyst,2022-01-14,0,,
2874,259577,Data Analyst,2022-01-07,0,,
2875,259579,Data Analyst,2022-01-07,0,,
2876,259581,Business Analyst,2022-01-07,0,,
2877,259591,Data Analyst,2022-01-07,0,,
2878,259592,Data Analyst,2022-01-07,0,,
2879,259595,Data Analyst,2022-01-07,0,,
2880,259598,Data Analyst,2022-01-07,0,,
2881,259602,Data Analyst,2022-01-07,0,,
2882,259606,Data Analyst,2022-01-07,0,,
2883,259610,Data Scientist,2022-01-07,0,,
2884,259615,Data Analyst,2022-01-07,0,,
2885,259617,Data Scientist,2022-01-07,0,,
2886,259620,Business Analyst,2022-01-31,0,,
2887,259620,Data Analyst,2022-01-31,0,,
2888,259620,Data Scientist,2022-01-28,0,,
2889,259624,Data Scientist,2022-01-07,0,,
2890,259636,Data Analyst,2022-01-07,0,,
2891,259646,Business Analyst,2022-01-07,0,,
2892,259646,Data Analyst,2022-01-07,0,,
2893,259649,Data Analyst,2022-02-02,0,,
2894,259654,Data Analyst,2022-01-08,0,,
2895,259655,Data Scientist,2022-01-07,0,,
2896,259657,Data Scientist,2022-05-08,0,,
2897,259660,Data Analyst,2022-01-08,0,,
2898,259663,Data Analyst,2022-01-08,0,,
2899,259664,Business Analyst,2022-01-10,0,,
2900,259678,Data Analyst,2022-01-08,0,,
2901,259682,Data Analyst,2022-01-08,0,,
2902,259684,Data Analyst,2022-02-12,0,,
2903,259690,Business Analyst,2022-01-08,0,,
2904,259690,Data Analyst,2022-01-08,0,,
2905,259690,Data Scientist,2022-01-08,0,,
2906,259695,Data Analyst,2022-01-08,0,,
2907,259696,Data Analyst,2022-01-08,0,,
2908,259698,Data Analyst,2022-01-08,0,,
2909,259702,Data Scientist,2022-01-08,0,,
2910,259704,Business Analyst,2022-01-08,0,,
2911,259706,Data Analyst,2022-01-08,0,,
2912,259707,Data Scientist,2022-01-08,0,,
2913,259712,Business Analyst,2022-01-08,0,,
2914,259718,Data Analyst,2022-01-08,0,,
2915,259722,Data Analyst,2022-01-08,0,,
2916,259737,Data Scientist,2022-01-08,0,,
2917,259739,Data Analyst,2022-01-08,0,,
2918,259753,Business Analyst,2022-01-08,0,,
2919,259756,Data Analyst,2022-01-25,0,,
2920,259756,Data Scientist,2022-01-08,0,,
2921,259759,Data Analyst,2022-01-09,0,,
2922,259761,Business Analyst,2022-06-29,0,,
2923,259761,Data Analyst,2022-01-17,0,,
2924,259764,Data Analyst,2022-07-19,0,,
2925,259764,Data Scientist,2022-07-19,0,,
2926,259767,Data Analyst,2022-01-09,0,,
2927,259777,Data Scientist,2022-01-10,0,,
2928,259781,Data Analyst,2022-01-09,0,,
2929,259781,Data Scientist,2022-01-09,0,,
2930,259787,Data Analyst,2022-01-09,0,,
2931,259789,Business Analyst,2022-09-20,0,,
2932,259789,Data Analyst,2022-09-20,0,,
2933,259791,Data Analyst,2022-01-09,0,,
2934,259796,Data Scientist,2022-01-09,0,,
2935,259800,Data Analyst,2022-01-09,0,,
2936,259804,Data Analyst,2022-01-09,0,,
2937,259806,Data Scientist,2022-01-09,0,,
2938,259809,Data Analyst,2022-01-09,0,,
2939,259810,Data Analyst,2022-01-09,0,,
2940,259811,Data Scientist,2022-01-09,0,,
2941,259812,Data Scientist,2022-01-09,0,,
2942,259817,Data Analyst,2022-01-09,0,,
2943,259818,Data Analyst,2022-01-09,0,,
2944,259823,Data Analyst,2022-01-09,0,,
2945,259838,Data Scientist,2022-01-09,0,,
2946,259848,Business Analyst,2022-01-09,0,,
2947,259851,Data Scientist,2022-01-09,0,,
2948,259859,Data Analyst,2022-01-09,0,,
2949,259860,Business Analyst,2022-10-03,0,,
2950,259860,Data Analyst,2022-05-17,0,,
2951,259870,Data Scientist,2022-01-10,0,,
2952,259874,Data Analyst,2022-01-12,0,,
2953,259875,Data Analyst,2022-01-10,0,,
2954,259877,Data Analyst,2022-01-10,0,,
2955,259878,Data Scientist,2022-01-10,0,,
2956,259882,Data Scientist,2022-01-10,0,,
2957,259884,Business Analyst,2022-07-14,0,,
2958,259890,Data Analyst,2022-01-10,0,,
2959,259890,Data Scientist,2022-01-10,0,,
2960,259893,Data Analyst,2022-01-10,0,,
2961,259900,Data Scientist,2022-01-10,0,,
2962,259909,Business Analyst,2022-01-10,0,,
2963,259915,Data Scientist,2022-01-10,0,,
2964,259929,Data Scientist,2022-01-10,0,,
2965,259930,Data Scientist,2022-01-10,0,,
2966,259931,Data Analyst,2022-01-10,0,,
2967,259936,Data Analyst,2022-01-10,0,,
2968,259936,Data Scientist,2022-01-11,0,,
2969,259939,Business Analyst,2022-01-13,0,,
2970,259940,Data Analyst,2022-09-08,0,,
2971,259952,Data Scientist,2022-01-24,0,,
2972,259953,Data Analyst,2022-01-18,0,,
2973,259953,Data Scientist,2022-01-12,0,,
2974,259959,Data Scientist,2022-01-10,0,,
2975,259965,Data Analyst,2022-01-13,0,,
2976,259967,Data Analyst,2022-02-21,0,,
2977,259969,Data Scientist,2022-01-10,0,,
2978,259972,Data Analyst,2022-01-11,0,,
2979,259973,Business Analyst,2022-01-11,0,,
